viewCount,likeCount,favoriteCount,commentCount,video_id
80901,3774,0,331,N1LieZT6mQh
100,6,0,0,pKvrxKAAANX
67099,1207,0,100,M7pBCjLr66R
55712,4075,0,8,7xuhlfvovt2
1348,125,0,17,DdvQ1MOCtaU
499,20,0,1,TGqBUC7SI5E
1747004,177241,0,685,d2TPMQ2T8LO
422,14,0,2,0tiCOlP9gwE
5161,101,0,39,vc64WkeknQA
3993,8,0,1,Pay7cOyruBc
82747,1394,0,154,31Iwta1KGex
4580475,75801,0,3036,P08BXtBuKyg
60025,5012,0,28,dPSNH23IQuS
2140495,9607,0,336,QD9d0np6KUw
3129141,38320,0,1876,2Kwm92Z1IZX
48681,1389,0,113,h30oLlmF9hN
1584,0,0,18,LdtnHzrYMIj
1760,0,0,0,XnPoCU4gpnB
164,0,0,0,y0V4as8HgzN
63895,5546,0,15,NhddpJXg9Z8
102703,1256,0,43,kzEq4p2m7Gj
45946,32,0,2,3Ah3YAmO4lT
1203365,14358,0,1202,HSXEZI2luHb
4998,354,0,53,DJ5hrK4sfaL
655,7,0,0,24h3axwhuZC
342,9,0,0,mlrtZZamfSq
19040,1688,0,12,RDntAyWDnk7
29,0,0,0,OmQCjON08NI
3302,47,0,5,EdXIKB533Qw
66127,2669,0,20,UmUkqfRwRXf
452312,30403,0,109,tGPugs1ptyd
3515433,46845,0,1771,OsiP2JWNoep
2521,28,0,3,3bulo4Gxfys
1618,11,0,1,CLuDH1nHmr7
501769,11732,0,254,o7ehZTwnwbR
2188,49,0,8,NRpKd3d8mMD
291759,6674,0,104,7DCE00yCHBZ
33821,249,0,16,5yedV7lKHg9
1185,38,0,2,nnwMCFA4dDO
55169,523,0,18,vmREuG3AZft
157338,3059,0,107,nZAr98N5bQv
1671039,105339,0,2738,H5vSKATmkc3
965,56,0,3,41hZ8JpRVpT
18805,1155,0,80,RffySWduLN4
4712201,302908,0,2905,DeGk6PnI81w
42653,662,0,36,UmUHGZOqO8D
76,1,0,0,y4a0FZnxylM
9294790,68883,0,2659,LKeFcjCS3Pq
81,0,0,0,n5ZJZ9Gj7KS
1036264,14417,0,529,zkwf4sca599
1402122,40793,0,3405,QzL0SanDVtR
1312,14,0,0,8TqTp2CIvk7
776,27,0,16,BwU6GYRPwl9
60,0,0,0,yHsokRokmE0
1082,22,0,9,mG2dtSpfl1H
32664,1061,0,149,YiIo2326RwB
1000996,4326,0,127,PNPs2oE8m4F
3335,26,0,0,6OSTvexqzWV
2196,162,0,8,8LMrqbFEnZg
2230064,26332,0,1712,JFgOSzZMQOw
1053339,8375,0,0,M9etmB9RDKr
251,26,0,7,nCAaizXYSVh
807,11,0,1,I9SepKb8hhQ
2559,147,0,1,IeZ2hnhpbbv
348,4,0,1,uUSlUS45B50
266242,2372,0,1667,EYtDak0RxNk
21,0,0,0,RAt7aljshof
919,15,0,0,ajej5dCGdw5
1591,29,0,26,XV783A2yd2N
969566,12215,0,316,YJC7hO2AOOH
1482,7,0,0,BDPYidn3dH8
289,7,0,4,VGyLtTKxv7n
311562,3042,0,132,Q6LgvFBeTtR
169670,4337,0,430,SGxYIkZbhVS
2799,74,0,11,ArShF4E2TzY
108,1,0,0,GsHmFrl0W38
15792,154,0,23,K4q6lqD4yz4
173359,898,0,233,rjqqH9TcV49
26373,1130,0,255,39I2aAlcbhu
4928,15,0,0,ppw21AWHjHu
986,7,0,0,hy36VglqsYk
2701,8,0,2,jbRwxmihAX1
249,4,0,7,XFOAT1jcqih
4750,63,0,13,6tjOZy3UyRy
122,0,0,0,x6U5ZSJZ6KF
1959,18,0,2,NyLheTRkk1Z
1065167,16004,0,907,ZsPflDOdnN4
960378,6867,0,0,FkCDvcuQbPC
2503,56,0,0,v9kqG4LExb8
246,9,0,2,OdDGgc0GSyJ
182915,752,0,63,1GhoZPlEAFD
15421,629,0,104,HCYQWUQnjQQ
121,3,0,0,QanJ5VbBb0V
92296,2266,0,275,9ME0xLL2m6P
1266,33,0,10,6q4YlrT9475
410,0,0,2,PoScn1WsePL
12,0,0,0,k7jVW0HQRS4
1306,30,0,3,WZiFWi1uFYP
15308,400,0,29,uQ7H8ydIq8j
38664,327,0,44,ye2u1rp6F7f
316,0,0,0,LTNwWca3JUn
1205381,11996,0,418,geU4ro8ZVwU
19925,97,0,7,n1CT3aBMyPh
969230,16640,0,770,D8TReJpHylX
59,9,0,1,cseoBoHCowm
205060,3663,0,173,nWbAzbsyYjD
53595,5363,0,22,2JVQx1yteK6
194,30,0,26,sjibWEWkJc4
1333225,18909,0,826,wt7XuBzDfTI
1378272,6310,0,233,fvLrkVaJI9f
6636,86,0,5,wiEMtGVXAY0
4122450,365263,0,1946,lKBrXA6i3tk
295,7,0,0,19I3iFmDDCb
36,0,0,0,GMLJnrFqf7B
1011060,14165,0,476,rJMCkUMgWxn
62608,2117,0,17,6Mq95smc5t6
34220,3289,0,22,nGaffb9H2kd
58,1,0,0,v3wLbnGechm
1893,45,0,0,XvpCuGdPmrs
7732,129,0,16,1seXs0g6jxw
6121,58,0,17,QErC3HKLT2S
11222,268,0,27,qjRG0DtF88j
17033,148,0,5,Myf5TVbTOuK
204,28,0,1,jJxqpHDVSt6
372,20,0,8,PKmzhbEtTBz
35164,767,0,160,9XTSKvnDPYQ
17788,555,0,8,cNWfG6ZLCeK
22816,1096,0,197,dfwCyNGMp6W
1190435,18873,0,886,PA5utpLbwGF
2,0,0,0,vWXirCJr9dl
126,5,0,5,Uwvv0qIWWdg
81984,794,0,57,z9SBeIT3GJm
1465,72,0,12,I3ma75tMYFD
1057,13,0,0,YhWRUvEfcIU
431,10,0,2,CVYp6j8Qv80
9159,426,0,11,Ub9MQNqLeYM
356806,7131,0,1186,xIX4Lnoutag
21012,291,0,355,hS3DvmpAOWu
267022,2390,0,89,W9SJwxdoli1
899010,27870,0,893,TYT2GmRdhBh
93442,2215,0,104,SC6Io2oUKA8
274,7,0,0,E7Xrys1hb1J
8143360,135990,0,5632,mNdBTAnadqr
2515,93,0,3,75zNdjjKPrg
1923833,9965,0,246,uKocmlUWf1c
319,10,0,0,fDhkon4D9AZ
190175,16843,0,94,2Tr6aS6b9Fv
130,5,0,0,whCjc7iTSH5
67168,2543,0,128,EmcOJm2lCym
600146,23977,0,449,aRkNHiGJ5tC
5053923,372388,0,1018,cKNcE9jEnqB
1743762,114435,0,483,J5eAQCuhLPU
289491,5054,0,317,9ahwG4T2U83
177186,5355,0,270,bHyVs38qP4w
2610,26,0,5,ZZvd4QBQrE6
21380,425,0,92,yvVFf8Hc2Bq
1838,8,0,0,ybFl4A08bsA
21,1,0,0,9jydVuazudL
30374,774,0,49,tpDZuLPDG0S
656516,27739,0,109,UKYAYPfZa22
178304,6690,0,95,iPhHR29te2O
1678,17,0,0,n7pwYUNqSkd
373245,7264,0,339,9bSUYm62jK6
3020519,19904,0,1613,uy01fdp3k9M
11469,219,0,77,pRjTFYlXqDE
15271,1159,0,82,SdAiu9udIlU
15072,4,0,0,obZLRz8so8Q
180282,10190,0,3,BFZYcWMVQJ3
1817,21,0,3,QjRICOT6Lmr
4611126,131509,0,2734,dDfortZN6Ul
88167,1190,0,98,suj9GvInwsh
29677,0,0,58,RevpXw9YGlT
3968815,304330,0,967,kpupVDpCdDV
1247984,7825,0,343,tRbmP1rBv38
25778,276,0,13,lOULSQmwEOr
91435084,682531,0,17599,mQY9DrTnqlV
506,3,0,3,Lsqzh4GWiMR
146322,1230,0,70,ysFj20SLQKW
309,9,0,0,HxkjkisM6zC
1047908,16524,0,876,lCzsegkMd3G
9674,48,0,4,mqiU8SEXsXv
1502117,43353,0,999,hwlzDUCy4HB
33871,373,0,9,4NPsCWbxN3N
535,27,0,12,YveFE9bRs62
1255385,22229,0,788,cDNOjVN6vBI
137090,0,0,108,jzpkY7xrhR4
18367252,206039,0,9646,tnTtMLuWCjz
5581977,103840,0,3607,p88oBL4XiRb
1866773,25677,0,492,ZPAvTf36szt
1279,12,0,0,f7SSoJFnR7k
658274,14567,0,665,EyXXNVxusIn
2392,32,0,0,i8dyQJa768X
2961,90,0,5,SDswTyQsSHy
601,4,0,1,wFnHb8wprkW
2930,219,0,42,aIWQJEtvOlB
180342,3854,0,274,PJ5oIWkzDSi
165899,9003,0,976,Qav4BEehXIB
2538,134,0,0,S4u9e4C0tlq
89574,2117,0,175,VSLvRqFi0gv
29044555,0,0,11154,GkGfaE07sy8
6468,104,0,5,EJNAR3xvBSV
223690,5876,0,359,EUwUIQ5cG7o
2274,116,0,6,SVDlDQItN6D
541,8,0,0,9pDbNyv7E0F
1740,28,0,0,oWwLTkBYnel
273,35,0,4,C4znZARrDeH
134,2,0,0,gPpwVi3PC8A
27866,498,0,74,KaE65G0UFx8
1401,6,0,0,cZXboP8vCyr
1057,19,0,2,RoWQkYn5bgp
863,30,0,12,mLSOJNpyTZZ
228,13,0,9,RdUZxMMwUHP
1775,91,0,54,bSX4R6B3wG7
75892,2220,0,499,HThPpuPsR0C
1831,15,0,1,4BIYcHMvlRK
91550,50,0,1,1SXGVegqyIE
1357,0,0,0,f4dN9GLUaV3
64455,764,0,180,AFhvvVnMOtT
3206949,28807,0,1212,NdmywhcFet4
440072,7258,0,275,pIZ3qJEPYpX
337,0,0,0,9zByEv11b54
1171,17,0,5,NAyTKAnepud
206,4,0,2,C7Fn7XSmi2W
28452,1140,0,113,FaHRCB9Dd1n
606,4,0,0,WwNKYhu5YdG
2686,36,0,3,CqUsOUlEq7g
3759,104,0,18,ZMhMAWBAPSn
8856,31,0,0,H2yn4UbhS0E
333,7,0,0,soL0AabdqVy
721,10,0,1,VuJgcpHhNzb
1272650,77792,0,749,3OtnJxXAyz2
38020,366,0,24,YHjbiGfBmjC
282,0,0,0,28tA45v1Mdy
5210146,80260,0,2576,LORs3DrnaWq
455,2,0,1,EHfTJKOHBMH
399325,10585,0,1084,TNF0OyFd5MC
43199,2716,0,59,FhdG2XUUa6Q
962,0,0,10,fncnpBBH4Mo
1397,31,0,27,wbQm7zvExPs
1018,48,0,12,3G0FP9q0zh8
4615,76,0,44,vZBsxZYyVAz
317,8,0,1,Y7BdQOuJj09
9537,332,0,15,9bSyqcnt0rY
587460,9802,0,306,602Egmd9bUT
9162,306,0,46,ghxxzv0IYEZ
44641,4202,0,12,4knJDa0HDav
196735,13141,0,316,NjCJAz9vimM
9834,331,0,1,173WfZmbtxg
1822,179,0,3,JeTpnwFY7qJ
744,116,0,3,8UWoluHnpae
298,1,0,0,LDLwB8UPZd9
3936573,373238,0,993,zjoCtFDM8NQ
68,1,0,1,INlwNNMnV5G
10228,49,0,2,ZaewNZnuZJy
9394,486,0,33,7V7fYjlqqto
438,8,0,0,6TnwgcPRwRn
2256,73,0,51,0j0R6TtsgDn
35980850,924934,0,15342,2pjT8DeKEiW
25319,321,0,22,lWsXTpKPuQM
4476,26,0,0,jz4atv4rp7I
4006,45,0,3,7qbQHj0zYh4
636879,13199,0,471,ZY4DEDumqR2
1612,34,0,1,nuMux7BerEk
326,4,0,0,xt1TnKL6RGR
6099,30,0,2,By3Ij7RcX4j
39,0,0,0,aUC1nHltpPD
192,3,0,0,3bW3XtET7NH
1251473,6716,0,110,sTd7TqbPyGO
148,11,0,5,Wpll82SyP49
659516,17811,0,1435,s139Vo09xAH
357,18,0,0,vWjmP60zlHx
77840,2316,0,117,R7xUQapjvQ6
110757,3765,0,635,uo5lkf8Ol9y
74,0,0,0,xsWqcazOHea
4055929,47679,0,3397,qi4JkG3xLCE
142,15,0,9,WowuhnZWco1
3187585,159190,0,1654,iOaqHfiPPCP
13931,243,0,24,bnttBtaiKy5
10385,250,0,17,KbmYGRknnBO
414180,9046,0,345,DRyrybSCQ4a
278,0,0,0,I9bieFM5KHL
182,19,0,9,zizJ6gl3vPX
143,2,0,0,fOUiYCqtHrP
1784,35,0,7,eTPMoBrrOAr
2884034,26036,0,713,7L4AjQIHmSI
28957,76,0,2,8d1getA9DfP
2418,23,0,2,0gTSgQ486Mw
15659,398,0,14,I5rQ4q64aW9
332520,5212,0,446,8S2oCBIKYI3
157976,1484,0,123,vCk68k8TumU
1382694,24905,0,1143,JGARVlOQ9HI
921,17,0,4,aBknURBF975
370,5,0,1,7kPClAmUHOR
82071,3943,0,54,tVNyLf98YXn
3220,12,0,0,KEphfGYE7js
2875,195,0,16,E7rKqZX4NaG
717,14,0,2,BnM8WAFTDyL
21,0,0,0,8ZnN1J4Cdwp
204,2,0,0,9kJUB5Wblkw
80068,2359,0,158,uTAgL0bGviJ
96309,0,0,1429,B9NdjuD4nVX
3455,60,0,4,q5vekSt2xQR
23,0,0,0,kIIT2s15irX
656591,14089,0,439,JcevrakGJX8
8193,25,0,4,4lV1tdJgRCk
804562,39050,0,962,edXHEEIjIl2
419,5,0,1,M2q5WCYhjMT
930,38,0,1,cdoHqyQAa2z
71094,2256,0,138,zxPeQw6bQwl
391,1,0,0,HcW87HMuLu1
4604,65,0,15,whtXUlKkCsK
1042,4,0,3,aSZENfyObZV
10777263,84363,0,2298,ADMtCoN9oKu
3467,303,0,20,toSQOzAelyF
758,5,0,2,m1VekrTmiNX
1851,102,0,0,IeOKlYbWF8Q
16391,171,0,36,hLdlG8TYmuD
156,2,0,0,eeQ7mXyAlUF
8746,52,0,6,UVfiPJXndHE
7848371,107338,0,4265,7HQLBAOIkJi
407782,8719,0,575,DmWoAN8OF35
399692,32645,0,259,08tyhZiuPg0
7304,104,0,17,g3XbsU2KLiU
169,3,0,0,akq9g1fyHWw
1730377,22187,0,1624,I4fofCAHkDk
9969,300,0,46,9q9N1hJ2imU
1140,53,0,4,dLdZ2FaP3Y6
2250,156,0,6,JPRKachXHbN
260836,4090,0,208,zDcHNyrTiIb
5715,116,0,7,hEg0EjJrUQV
168,4,0,0,42S61T1qMzi
649,4,0,2,7cUR7Y5t4ks
1096,0,0,7,xlS3VHWL3rR
1362161,34388,0,1733,C8DH1YRJuvf
90,2,0,0,BTTzew8MR28
1008,27,0,7,YUjLUumEmGs
1757,20,0,2,WtQQskkp77c
39092,4440,0,34,BttUXcmCXVz
8710,134,0,9,wxvQaU1uQAA
278164,6624,0,468,NFYPgBm8tcf
50054,1777,0,439,u7jvlpZ1HVZ
111,4,0,1,uLN97o71u4G
54189,1590,0,90,j6PHta9FXxg
111069587,3184256,0,43160,crauIt72f9D
1493,20,0,1,Ukc9eFgBLhD
1460,23,0,1,aF83LyKaQIo
900030,24613,0,1861,YgqqROPlKLp
7324,105,0,19,kZMN0gAgXJr
758393,4962,0,2764,vYnRHWfiIam
19,3,0,0,2JDqe89GdcR
55648,1617,0,163,1bRllXgTCj0
1279,27,0,8,2kipiVVNGhJ
585,2,0,0,L3uFp1dnbmV
2621,38,0,12,f2K4kjbIjDA
6688,514,0,44,ylpaAZ8MpsU
2702715,50245,0,1197,zFynY29WAZA
490,25,0,1,aomZh9Lce9D
561,6,0,2,FXQXlvRZE08
1338948,7071,0,288,qkwTuagdR9c
170434,3648,0,206,mEzgfXOfPqj
284,18,0,6,5xfuLMKAI8h
7599,242,0,13,9baEMFgm6Vd
25509,141,0,11,6BzhXjsFx76
37458518,1887090,0,9743,4Zo6DMi6kyn
2144476,29934,0,810,BWqbXAv9AWg
894,3,0,0,APvLbRBKaIG
4465,73,0,18,5rNTpphLnRc
27455,1123,0,229,j4JVOKv5crC
49,7,0,0,rI0z1a5V9Sm
1312,22,0,1,Fbv7h6YYTho
1330645,125540,0,738,U66keH9LrSe
682830,16414,0,402,HLBbRXrGngN
1057792,24409,0,544,CiPn553LP9V
145855,2496,0,152,Q9NhkjvvyXL
1171902,11391,0,456,YX47KsZicOw
242,4,0,0,22SBUkmQ04e
2059438,196639,0,459,keNq2faRVCI
21634,941,0,114,Lql6PUApA5N
386,19,0,1,UVMnESacVCX
956815,18207,0,383,YSGp7dHnBf9
16086508,977100,0,2640,aXVLFmbrGdm
2674390,231038,0,892,QWEh3IDz5mW
5766213,40373,0,686,y2DJgYGT1dJ
9949465,40877,0,646,i4JlE4MtGAc
610,38,0,0,6wxICFr9jQq
11811,268,0,11,Z3e6im6sNs0
424746,9846,0,362,knth3SLu62l
71764,817,0,263,v0GOUi5pKrF
2371291,21643,0,507,Tym8WBluOY9
625,15,0,3,0vBiALSCyfk
99144,5646,0,16,4rUktoV8Mmo
119072,1298,0,143,7QgcTukP4SF
33768,852,0,220,WKUoCTn76tu
2194,70,0,3,yM3hx2jFAiw
1261,0,0,1,BGuVsoihXM5
452,16,0,0,ryfe22HZcpT
135354,4959,0,774,1I98vsvpVgp
42,1,0,0,JNYLxYButEb
2786,49,0,18,cPQS4X1Y03f
56678,2879,0,122,k594TGNrghc
355,3,0,1,D7kmXuiD5wf
11085919,162891,0,4140,OajQdtBT2y0
380,4,0,2,PDdeI187j8M
21156,171,0,43,z6WgG5Dktzz
23883541,1156038,0,3946,SUJx6rxu7Z9
3761,0,0,4,FDJkdUyqyL1
5144,61,0,13,bg48O7xxi99
56833,1216,0,159,vUTmpp0v4pB
98327,7820,0,30,FtzuJhdcSPv
5566,233,0,118,FCNQl1zuMie
19391511,246054,0,13877,gNNdJVof48F
1479,119,0,22,GBpto5IbqPo
44,0,0,0,dKeNsg6deRX
3767,79,0,24,ulsCxWnkklc
1739,52,0,0,TajWEFIDpBV
3361605,236017,0,1107,flJNKwI9ke9
503,11,0,0,JppWzHwVhSC
49,2,0,0,QUP7CLvr9Li
4111,69,0,0,lQCKGwFVf0Y
1250,25,0,5,WlBftqbjHJz
1855,28,0,0,1PgACPNNQFG
2481411,20878,0,1368,rB4QUvWc0ob
87986,392,0,20,jrV5mewelwx
994523,17454,0,699,TDg1irUy32b
2357,95,0,8,vfjqNmPFhFy
6715,0,0,14,HwIP8N8Yojw
395,0,0,0,56Hi4IZWI77
209872,6676,0,428,IhJwaM0a1OX
5340,117,0,15,a1VDge6MbEh
905,16,0,0,jnXK8xVZMjc
44815,1203,0,135,BS1T7e2gSF0
455,13,0,0,wxZPui9EhcF
4626637,378738,0,1943,R6Wrigy2m0N
2437,23,0,17,u2nvwPabswK
27492,201,0,5,r5Mu1A5VEQh
103867,3089,0,290,AlsVhG6AdTR
462763,9836,0,939,Jv2WQFalw0f
50,0,0,0,PkHMOejLYNt
206,0,0,0,vonSWlr8M5Q
556870,11378,0,533,iyythMYusp4
34620,1902,0,15,WiZYFRkWjTf
30063,244,0,19,CW1O8XwsATX
161246,3238,0,448,OqkHKGaFDyV
19269,551,0,66,CrxnbPaoPSA
4568,103,0,46,D432kqF2Z1h
12376,252,0,3,a6FH5rTOpw1
140120,2549,0,117,8LtRX8Vpgs7
2184574,19560,0,1005,Gdco7Nkw14b
756,28,0,6,cOuTWBZlhXj
119,0,0,0,3CPXC3qCksD
257689,6690,0,212,xTtK1wFlLpD
4574,465,0,16,pEYh5rsjKXV
26397,765,0,116,1IIKlr0RoN3
346115,10883,0,528,0IGSMh1jY4l
3591,46,0,1,4IQVBMfOpts
732,3,0,0,FRfd9JsCKXJ
954,7,0,3,oJza4FVkq3H
2,0,0,0,AGMrvCfgtuB
7888,106,0,18,G2FZLChOqYA
224,8,0,2,YtP5NQkVhrM
2097,217,0,10,XRQkPy6mY0L
97,0,0,0,oYPXeTOaiiO
11922,49,0,9,euzitk2VVCw
233,6,0,2,uGIrBypAy8S
1030983,46354,0,1636,8DMCShWGvc7
6319,83,0,4,2X9rUQ9eYrk
2326,3,0,0,SdJJAh1okRH
161,0,0,0,7omZ76IUeNI
2765111,32356,0,1623,PRLiJ09O9Lb
125243,1743,0,49,b4R88MrlpZJ
161673,1025,0,47,GdvMgfFkzbP
1781631,53650,0,1048,J2RNtXaPZBv
4,0,0,0,DbeQMcKdfFe
30,1,0,0,gJcvSu2sP61
837,17,0,4,Kd4F5F32vZD
94585,2470,0,125,LQitzLq3XgR
6900,175,0,0,oM4F56i3v4o
6397,230,0,39,8b0FJE990sS
134,6,0,0,NEnwNYicNZd
293,9,0,6,ZWwqxyz01Vd
5187,86,0,1,WRAZP0e3UdU
178,7,0,0,UEOZMKZyKiI
49726,535,0,173,SMkIs7QMUcC
147863,3495,0,157,vQLMuEaCoKN
451778,10342,0,506,lmHadyfRDL3
365,5,0,2,U2GNNoCUCyk
36646,3202,0,37,f8bfthgee6G
6404071,55579,0,4414,qwtcJy1qJQT
315,9,0,2,MbIAF15LxrF
327842,3007,0,111,Owt2ZKtN1cV
1376,73,0,13,eSFdBDqNq7V
150,4,0,0,rMRTUaStWtB
1508,67,0,2,BMzezxuihRq
1700,17,0,5,KLQk2gBSs4l
6956,0,0,6,z8nSAbtVmXE
21045,219,0,19,2PFiyoYeokM
1444,88,0,14,TubGon2AKYx
204651,6552,0,234,ZqJJPFZrosS
7329,45,0,2,jIv3kmVuMH7
52,1,0,0,0vdZcGo9eHn
1782262,28228,0,1402,aoQcaaadEXV
2303,47,0,1,joA8IkftIIL
1010,16,0,1,25lsp7JO1Jl
412,8,0,3,1XFQexy6Fka
6056507,279870,0,4853,aKeFgOqos3g
181,4,0,0,OqKBO2MTAxC
956,44,0,30,qTfBr7BQZKk
175,5,0,0,gcOKdtL6VcW
810,5,0,2,VTP6wbpGAzY
12920,17,0,0,WLIOQXFgSqO
1045,105,0,4,seJSn68w0xP
38225,392,0,16,G5qbWVAS293
18,1,0,0,K4kxVOsnXn3
439,7,0,3,5X5Zcmq8037
30876,726,0,87,jmLUTD9jged
18799,454,0,94,ToLXIeitPEo
408,30,0,4,GrL9ENChbQF
821,1,0,0,CihEU8vJbhh
2576,26,0,0,MGn1Uvo0Osl
1891,188,0,24,BKXS40IlhKl
1850,21,0,2,VyK3q7Cp6Io
181,5,0,0,XOgXHCuFEOM
1828,72,0,26,5hIKMNMT3Te
2135619,20549,0,0,i1tksPNiDPH
991337,18590,0,1870,zBc6diaqwCO
9038,40,0,4,fYYCwtlS4YS
7842,305,0,23,2Qw0pdx0kHM
183,5,0,0,HnLMLz7Yqbn
449,22,0,7,kGEVFJhflRa
1395,12,0,0,hiWhq6QkdDe
98839,9334,0,23,G2laJeg5QsR
11064,330,0,202,I0blQ6kvnia
1467,2,0,0,SD5u9LfPnoF
8608,0,0,26,qunlftungps
5945,43,0,1,Eobsi3kGmBZ
7453,624,0,15,1RzyPcZkLeA
113034,2357,0,130,0NH8s9Q3ktn
1920,46,0,5,geX4Lx6yJKb
10121,324,0,1,hzLh1NnZDMR
157,2,0,0,KLO5SvXR7H8
17,2,0,0,S8Lj0G7h1nP
4087934,170321,0,843,WIlj06n6XVu
308,10,0,1,WyWbol8KQ92
2367,20,0,4,yltoEQ0xmgC
9,1,0,1,6jVp3p6f1Cl
86,1,0,0,ffHTtFub7DV
651854,15518,0,364,0jfDoyQfoGc
119,6,0,1,WJqENDaazU1
410279,9949,0,832,G9heAGekvEC
531583,7180,0,315,l1DF57FTsFm
190,6,0,0,OTtxRMP4rtx
24858,335,0,17,Aua9q0uigfQ
