video_id,title,description,published_at,channel_title,view_count,like_count,dislike_count,comment_count
hhus85dVNlT,Exploring New Restaurants in NYC #0,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2020-01-14T18:52:57,Garcia-Jones,244753,3958,242,32
Tafq8uqcovt,Exploring New Restaurants in NYC #1,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2021-04-14T01:11:31,Jordan PLC,209293,5381,156,754
FUEAboWD4aQ,Exploring New Restaurants in NYC #2,Iconic NYC Foods You Have to Try. Discover the best places to eat and drink in New York City.,2022-12-01T01:39:33,"Ward, Matthews and Underwood",361515,3206,64,175
s8VOGUYpVLo,Exploring New Restaurants in NYC #3,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2020-03-15T15:51:30,Zimmerman Ltd,64613,5829,628,290
i6zra5mGY1U,Exploring New Restaurants in NYC #4,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2020-12-29T07:36:12,Fletcher-Williams,347062,9474,817,748
nF7UeXPJ8FC,Exploring New Restaurants in NYC #5,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2023-08-08T06:44:48,"Gardner, Tate and Carter",189062,4809,225,937
SOcffV3dv54,Exploring New Restaurants in NYC #6,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2022-02-15T22:01:25,Ibarra and Sons,487550,1426,195,873
vQIYaGzj8q5,Exploring New Restaurants in NYC #7,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2021-07-30T04:08:31,Miller LLC,484920,8249,362,698
g7C7zkvl9gc,Exploring New Restaurants in NYC #8,NYC's Best Bagels: Where to Find Them. Discover the best places to eat and drink in New York City.,2020-09-18T12:00:38,Salinas Ltd,467104,5960,14,723
nNMO1ExDofd,Exploring New Restaurants in NYC #9,Vegan and Vegetarian Restaurants in NYC. Discover the best places to eat and drink in New York City.,2020-08-01T15:02:20,"Coleman, Black and Newton",437216,442,404,155
eUb0XqdS9Cf,Exploring New Restaurants in NYC #10,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2021-10-29T10:38:25,"Logan, Pacheco and Ward",445441,5838,501,645
