video_id,comment,sentiment,negative_words,positive_words,neutral_words
dRyRn99QQVc,went chan dang gol today visiting la vega took recc bossam bulgolgi octi bowl absolute fireeeee want bossam thanks,positive,[':'],[''],['']
PEdHdz2i029,man hey honey dangerous part nycbrwife likely subwaybrman great thats want open restaurant,neutral,['dangerous'],"['great', 'open']","['man', 'hey', 'honey', 'nyc', 'wife', 'likely', 'subway', 'restaurant']"
svMLoy6qRGI,tried prince st best pizza i’ve ever,positive,[':'],[''],['']
foK3eAgAofK,new york ain’t place place decline homeless people street people living poverty i’ve stepped hotel saw homeless lady rolling sidewalk kinda put eating michelin restaurant,neutral,[''],[''],['']
2Z8a4HwCmEc,dim sum didn’t look refined one sf cheap i’ll trying next week,negative,['cheap'],[': cheap'],"['dim sum', 'look', 'refined', 'one', 'sf', 'trying', 'next week']"
P7FJ-nLXkPk,pho i’d recommend going pho bang mott street—my personal fav picky vietnamese bf approves 😂,neutral,[''],[''],['']
t7bj7sC9nEt,burger,neutral,['none'],['burger'],['none']
fwTFdi9-2ak,crazy ¡¡¡ thanks¡¡¡,positive,[': thanks'],['thanks'],['crazy']
QOZX4HK2ilE,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,neutral,['😢'],['😅'],['😮']
2xQ6bHktmnU,comment least like,negative,['least'],[': least'],"['comment', 'like']"
n3BUjbF56it,encanto el vídeo ✨,positive,[':'],[''],['']
ZkJL87lJ870,street truck supposed cheap never eat,neutral,['cheap'],['none'],"['street', 'truck', 'supposed', 'never', 'eat']"
J7G_ZoYqUK4,fyi life long ny’er living nj commuting nyc work love channel especially love asian food ashamed never wo hop hop kee loved tour delicious cheap hole wall chinese restaurant,neutral,['ashamed'],"['love', 'delicious', 'cheap', 'loved']","['fyi', 'life', 'long', ""ny'er"", 'living', 'nj', 'commuting', 'nyc', 'work', 'channel', 'especially', 'asian', 'food', 'never', 'wo hop', 'hop kee', 'tour', 'hole wall', 'chinese', 'restaurant']"
